InterPro Entry Accession	InterPro Entry Name	InterPro Entry Type
IPR013878	Mo25-like	Family
IPR013879	Protein of unknown function DUF1761	Family
IPR013880	Yos1-like	Family
IPR013881	Pre-mRNA-splicing factor 3	Domain
IPR013882	DNA repair protein Sae2/CtIP	Family
IPR013883	Transcription factor  Iwr1	Family
IPR013885	Protein of unknown function DUF1764, eukaryotic	Family
IPR013886	PI31 proteasome regulator	Family
IPR013887	Uncharacterised protein family UPF0592	Family
IPR013888	Ribonuclease P, Rpm2, mitochondrial	Family
IPR013889	Karyogamy protein, KAR9	Family
IPR013890	Transcriptional repressor Tup1, N-terminal	Domain
IPR013892	Cytochrome c oxidase biogenesis protein Cmc1-like	Family
IPR013893	Ribonuclease P, Rpp40	Family
IPR013894	Domain of unknown function DUF1767	Domain
IPR013895	Chromatin-remodelling complex RSC, subunit Rsc14	Family
IPR013896	Ubiquitin-associated domain (UBA)	Domain
IPR013897	Protein of unknown function DUF1769	Family
IPR013898	Protein of unknown function DUF1770, fungi	Family
IPR013899	Domain of unknown function DUF1771	Domain
IPR013900	Ribonucleotide reductase inhibitor	Family
IPR013901	Protein of unknown function DUF1772	Family
IPR013902	Meiotically up-regulated protein	Domain
IPR013903	Uncharacterised protein family UPF0300	Family
IPR013904	Transcriptional regulatory protein RXT2, N-terminal	Domain
IPR013905	Lethal giant larvae (Lgl)-like, C-terminal domain	Domain
IPR013906	Eukaryotic translation initiation factor 3 subunit J	Family
IPR013907	Sds3-like	Family
IPR013908	DNA repair Nbs1, C-terminal	Domain
IPR013909	Nuclear-interacting partner of ALK/Rsm1-like	Domain
IPR013910	Transcription factor PAP1	Domain
IPR013911	i-AAA protease complex subunit Mgr1	Family
IPR013912	Adenylate cyclase-associated CAP, C-terminal	Domain
IPR013913	Nucleoporin, Nup153-like	Domain
IPR013914	Rad9-like Rad53-binding domain, fungi	Domain
IPR013915	Pre-mRNA-splicing factor 19	Domain
IPR013027	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Family
IPR013069	BTB/POZ	Domain
IPR013799	STAT transcription factor, protein interaction	Domain
IPR013824	DNA topoisomerase, type IA, central region, subdomain 1	Domain
IPR013825	DNA topoisomerase, type IA, central region, subdomain 2	Domain
IPR013826	DNA topoisomerase, type IA, central region, subdomain 3	Domain
IPR013827	Haemagglutinin, HA1 chain, beta-ribbon domain	Domain
IPR013828	Haemagglutinin, HA1 chain, alpha/beta domain	Domain
IPR013829	Haemagglutinin, stalk	Domain
IPR013831	SGNH hydrolase-type esterase domain	Domain
IPR013833	Cytochrome c oxidase, subunit III, 4-helical bundle	Domain
IPR013834	Bacteriophage, G3P, N2-domain	Domain
IPR016029	Inner layer core protein VP3, Reovirus	Domain
IPR013851	Transcription factor Otx, C-terminal	Domain
IPR013993	Zinc finger, N-recognin, metazoa	Domain
IPR013994	Carbohydrate-binding WSC, subgroup	Domain
IPR014008	Cobalamin biosynthesis, precorrin-6Y methyltransferase, CbiT subunit	Family
IPR014710	RmlC-like jelly roll fold	Domain
IPR015632	T-cell adhesion molecule CD2	Family
IPR015633	E2F Family	Family
IPR015635	Transcription factor E2F6	Family
IPR015636	Polynucleotide kinase 3-phosphatase, eukaryota	Family
IPR015637	DNA glycosylase, G/T mismatch	Family
IPR015639	Ninjurin1	Family
IPR015640	Syntaxin 8	Family
IPR015641	Fasciculation and elongation protein zeta 2	Family
IPR015642	Fasciculation and elongation protein zeta 1	Family
IPR015643	Peptidase C1A, cathepsin B	Family
IPR015644	Peptidase C1A, cathepsin K	Family
IPR015645	Peptidase C1A, placentally-expressed cathepsin	Family
IPR015646	Nuclear factor of activated T-cells 5	Family
IPR015647	Nuclear factor of activated T-cells 1	Family
IPR015648	Transcription factor DP	Family
IPR015649	Schwannomin interacting protein 1	Family
IPR015650	Myosin class 1/2/3/4/7/8/13/15	Family
IPR023888	Antimicrobial peptide, SdpC family	Family
IPR015652	Retinoblastoma-associated protein	Family
IPR015653	Intercellular adhesion molecule 2	Family
IPR015655	Protein phosphatase 2C	Family
IPR015656	Microtubule associated protein 1A	Family
IPR015657	Aminobutyraldehyde dehydrogenase	Family
IPR015658	Endothelin-2	Family
IPR015659	Proline oxidase	Family
IPR015660	Achaete-scute transcription factor-related	Family
IPR015661	Mitotic checkpoint serine/threonine protein kinase Bub1/Mitotic spindle checkpoint component Mad3	Family
IPR015662	Motilin	Family
IPR015663	Ankyrin-1	Family
IPR015664	P53-induced protein	Family
IPR015665	Sclerostin	Family
IPR015666	Histidine-rich calcium-binding protein	Family
IPR015667	Telethonin	Family
IPR015668	B Cell Lymphoma 9	Family
IPR015669	Endothelial protein C receptor	Family
IPR015670	Dopamine/cAMP-regulated neuronal phosphoprotein	Family
IPR015672	GPCR 89-related	Family
IPR020016	Decahaem-associated outer membrane protein, MtrB/PioB	Family
IPR020017	XapX domain	Domain
IPR020018	Gliding motility-associated lipoprotein, GldH	Family
IPR020021	Glycosyl amidation-associated protein, WbuZ	Family
IPR020022	N-acetyl sugar amidotransferase	Family
IPR020024	L-seryl-tRNA(Sec) kinase, archaea	Family
IPR020028	L-seryl-tRNA(Sec)kinase, eukaryote	Family
IPR020029	CRISPR-associated protein Csp2	Family
IPR020031	CRISPR-associated protein Cas5p	Family
IPR020032	CRISPR-associated protein Csp1	Family
IPR020033	Pyridoxal phosphate-dependent transferase, archaea	Family
IPR020034	Conserved hypothetical protein CHP03577, EF0830/AHA3911	Family
IPR020062	Nuclear transition protein 1, conserved site	Conserved_site
IPR020037	Protein of unknown function DUF4312	Family
IPR020038	Circular bacteriocin, circularin A/uberolysin family	Family
IPR020040	Ribosomal protein L6, alpha-beta domain	Domain
IPR025994	BRCA1, serine-rich domain	Domain
IPR020042	Protein of unknown function DUF4311	Family
IPR020044	PRD domain protein, EF0829/AHA3910	Family
IPR020049	Protein of unknown function DUF2184	Family
IPR020051	SagB-type dehydrogenase domain	Domain
IPR020063	Bordetella pertussis toxin B, subunit 2/3, C-terminal	Domain
IPR020151	Autographa californica nuclear polyhedrosis virus (AcMNPV), 0rf91	Family
IPR020184	Keratin-associated protein 7 family	Family
IPR020185	Spore morphogenesis/germination protein YwcE	Family
IPR020186	Meiosis-expressed gene 1 protein	Family
IPR020187	Seminal vesicle secretory protein, SVP2/5/6	Family
IPR020189	Translation elongation factor, IF5A C-terminal	Domain
IPR020190	Procorazonin	Family
IPR020191	Low-molecular-weight cysteine-rich family	Family
IPR020192	Tegument protein UL11,  HHV3-type	Family
IPR020193	Flagellin lysine-N-methylase, C-terminal	Domain
IPR020194	Dermaseptin, anura	Domain
IPR020195	SWR1 chromatin-remodelling complex, subunit Swc7	Family
IPR020196	Uncharacterised protein family YqgB	Family
IPR020197	Herpesvirus UL96, cytomegalovirus-type	Family
IPR020198	Ponticulin	Family
IPR020203	Uncharacterised protein family, YneK	Family
IPR020204	Uncharacterised protein family, YxaJ	Family
IPR020205	Uncharacterised protein family, YwnF, transmembrane	Family
IPR016935	Uncharacterised conserved protein UCP029692	Family
IPR016936	Uncharacterised conserved protein UCP029693	Family
IPR016937	Uncharacterised conserved protein UCP029727	Family
IPR016938	Uncharacterised protein family UPF0317	Family
IPR016939	Mitochondrial ribosomal protein S25	Family
IPR016940	Competence G operon,  ComGC	Family
IPR016941	Uncharacterised conserved protein UCP029962	Family
IPR016942	Uncharacterised conserved protein UCP030042	Family
IPR016943	Uncharacterised conserved protein UCP030050, HTH transcriptional regulator, BH1869	Family
IPR016944	Uncharacterised conserved protein UCP030066	Family
IPR016945	Uncharacterised conserved protein UCP030092	Family
IPR016946	Uncharacterised conserved protein UCP030125	Family
IPR016947	Bacteriophage gamma, gammalsu0035	Family
IPR016948	Uncharacterised conserved protein UCP030175	Family
IPR016949	Uncharacterised conserved protein UCP030210	Family
IPR016950	Mannosyltransferase, MA4085, predicted	Family
IPR016951	Haem oxygenase (decyclizing), plant	Family
IPR016952	Small heat shock protein, predicted, plant	Family
IPR016953	Uncharacterised conserved protein UCP030365	Family
IPR016954	Uncharacterised protein family, Vng0742h	Family
IPR016955	Autotransporter, YhjY, predicted	Family
IPR016956	LexA regulated metal-dependent membrane hydrolase, predicted	Family
IPR016957	Uncharacterised conserved protein UCP030791	Family
IPR016958	Uncharacterised conserved protein UCP030798	Family
IPR016959	Uncharacterised conserved protein UCP030811	Family
IPR016960	Uncharacterised conserved protein UCP030823, kinase, HhH DNA-binding	Family
IPR016961	Diacylglycerol kinase, plant	Family
IPR016962	Dehydrase, ECs4332, predicted	Family
IPR016963	Glycoporin RafY	Family
IPR016964	Transmembrane protein 6/97	Family
IPR016965	Phosphatase PHOSPHO-type	Family
IPR016966	Thiamin pyrophosphokinase, eukaryotic	Family
IPR016967	Splicing factor, SPF45	Family
IPR016968	Uncharacterised conserved protein UCP031074	Family
IPR016969	Uncharacterised conserved protein UCP031088, alpha/beta hydrolase, At1g15070	Family
IPR016970	Uncharacterised conserved protein UCP031143	Family
IPR016971	Uncharacterised conserved protein UCP031277	Family
IPR016972	Uncharacterised conserved protein UCP031279	Family
IPR016973	Integral membrane protein SYS1	Family
IPR016974	Uncharacterised phage-associated protein	Family
IPR016975	Cell wall-active antibiotic response protein	Family
IPR016976	Uncharacterised conserved protein UCP031601	Family
IPR016977	Competence operon G, ComGF	Family
IPR016978	Putative competence-induced protein Ccs4	Family
IPR016979	Uncharacterised protein family UPF0298	Family
IPR016980	S-adenosyl-L-methionine dependent methyltransferase, Alr7345, predicted	Family
IPR016981	Transcription regulator, AraC, predicted	Family
IPR016982	Uncharacterised conserved protein UCP031802	Family
IPR016983	Uncharacterised conserved protein UCP031804	Family
IPR016984	Uncharacterised conserved protein UCP031853	Family
IPR016985	Uncharacterised conserved protein UCP031890, Tim44-related	Family
IPR016986	Uncharacterised conserved protein UCP031982, alpha/beta hydrolase, XabL	Family
IPR016987	Uncharacterised conserved protein UCP023238	Family
IPR016988	Uncharacterised conserved protein UCP032086	Family
IPR023928	Conserved hypothetical protein CHP03979	Family
IPR022960	Glycine-tRNA ligase, archaeal	Family
IPR022961	Glycine-tRNA ligase, bacterial	Family
IPR023316	Pheromone/general odorant binding protein, PBP/GOBP, domain	Domain
IPR018162	Alanine-tRNA ligase, class IIc, anti-codon-binding domain	Domain
IPR018173	Uncharacterised protein family, PY00680	Family
IPR018174	Mediator complex, subunit Med13, fungi	Family
IPR018355	SPla/RYanodine receptor subgroup	Domain
IPR018727	Protein of unknown function DUF2267	Family
IPR018728	Domain of unknown function DUF2268	Domain
IPR018729	Protein of unknown function DUF2269, transmembrane	Family
IPR023317	Peptidase S1A, plasmin	Family
IPR024232	Stage III sporulation protein AH-like	Family
IPR025995	RNA binding activity-knot of a chromodomain	Domain
IPR017698	Probable selenate reductase, FAD-binding subunit	Family
IPR017699	Probable selenate reductase, molybdenum-binding subunit	Family
IPR017700	Putative selenium metabolism protein SsnA	Family
IPR017701	Putative selenate reductase YgfK	Family
IPR017702	Putative carbamoyltransferase YgeW	Family
IPR017703	YgfZ/GcvT conserved site	Conserved_site
IPR017704	Putative selenium-binding protein YdfZ	Family
IPR017705	Ribonuclease Y	Family
IPR017706	Peptidase M20/DapE, YgeY	Family
IPR017707	Alternate F1F0 ATPase, F0 subunit B	Family
IPR017708	ATPase, F0 complex, subunit C, bacterial/archaeal	Family
IPR017709	Alternate F1F0 ATPase, F1 subunit gamma	Family
IPR017710	Alternate F1F0 ATPase, F1 subunit alpha	Family
IPR017711	Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	Family
IPR017712	Ribulose bisphosphate carboxylase, type III	Family
IPR017713	AMP phosphorylase	Family
IPR017714	Methylthioribulose-1-phosphate dehydratase	Family
IPR017715	Putative aminophosphonate oxidoreductase	Family
IPR017716	S-adenosylmethionine decarboxylase proenzyme	Family
IPR017717	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	Family
IPR017718	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	Family
IPR017719	Indolepyruvate ferredoxin oxidoreductase, beta subunit	Family
IPR017720	Coenzyme F390 synthetase	Family
IPR017721	Indolepyruvate ferredoxin oxidoreductase, alpha subunit	Family
IPR016547	Uncharacterised conserved protein UCP009158	Family
IPR016548	Uncharacterised conserved protein UCP009180	Family
IPR016549	Uncharacterised conserved protein UCP009193	Family
IPR016550	Guanidinoacetate N-methyltransferase	Family
IPR016551	NADH:ubiquinone oxidoreductase, beta subcomplex, subunit 8	Family
IPR016553	Receptor tyrosine-protein phosphatase C-associated protein CD45-AP	Family
IPR016554	Runt-related transcription factor RUNX	Family
IPR016555	Phospholipase D, eukaryota	Family
IPR016556	Transcription factor DP, subgroup	Family
IPR016557	Cyclic 2, 3-diphospoglycerate synthetase	Family
IPR016558	DNA primase, large subunit, eukaryotic	Family
IPR016559	Uncharacterised conserved protein UCP009597	Family
IPR016560	T-cell leukemia translocation-altered gene protein	Family
IPR016561	Dynein light chain, roadblock-type	Family
IPR016562	Proteasome assembly chaperone 2, eukaryotic	Family
IPR016563	Polyubiquitin-tagged protein recognition complex, Npl4 component	Family
IPR016564	Uncharacterised conserved protein UCP010056	Family
IPR016565	Proteasome assembly chaperone 1	Family
IPR016566	Uncharacterised conserved protein UCP010219	Family
IPR016567	Cysteine-rich protein, furovirus	Family
IPR016568	Sulphur oxidation, SoxY	Family
IPR016569	Methyltransferase, trithorax	Family
IPR016570	Uncharacterised conserved protein UCP010361, membrane	Family
IPR016571	Spore coat assembly protein CotJB	Family
IPR016572	Uncharacterised conserved protein UCP010611	Family
IPR016573	HOP1, fungi	Family
IPR016574	Nicalin	Family
IPR016575	Bardet-Biedl syndrome 7 protein	Family
IPR016576	Ribosomal protein 63, mitochondrial	Family
IPR016577	Adenylate cylcase, type 10	Family
IPR016578	Copper chaperone, chloroplast-targeted, predicted	Family
IPR016579	Synaptogyrin	Family
IPR016580	Cell cycle checkpoint, Hus1	Family
IPR016581	CRISPR-associated protein Cas7, subtype I-B/Tneap, bacterial	Family
IPR016582	D-(-)-3-hydroxybutyrate oligomer hydrolase, putative	Family
IPR016583	Uncharacterised conserved protein UCP011452, HNH endonuclease domain-type	Family
IPR016584	S-adenosyl-L-methionine dependent methyltransferase, YbcY, predicted	Family
IPR016585	Glycine/sarcosine/betaine reductase, component B, fused alpha/beta	Family
IPR016586	Mitochondrial transcription factor mtTFB	Family
IPR016587	DNA damage checkpoint control protein, Rad17	Family
IPR016588	Replication factor A, subunit 3, Saccharomycetes	Family
IPR016589	tRNA-splicing endonuclease, SEN2 subunit	Family
IPR016590	Rhamnogalacturonase B	Family
IPR016591	Suppressor of fused, eukaryotic	Family
IPR016592	Nibrin	Family
IPR016593	Adenovirus 41, E3-31.6kDa	Family
IPR016594	Bacteriophage T4, inh	Family
IPR016595	Periplasmic protein, HI0178, predicted	Family
IPR016596	Uncharacterised conserved protein UCP012335	Family
IPR016597	Uncharacterised conserved protein UCP012359	Family
IPR016598	Uncharacterised conserved protein UCP012467	Family
IPR016599	Uncharacterised conserved protein UCP012569	Family
IPR016600	Uncharacterised conserved protein UCP012611	Family
IPR016601	Uncharacterised conserved protein UCP012637	Family
IPR016602	Uncharacterised conserved protein UCP012666	Family
IPR016603	Uncharacterised conserved protein UCP012755	Family
IPR017376	Herpesvirus UL49A	Family
IPR017377	Herpesvirus US8A	Family
IPR017378	Torsin, subgroup	Family
IPR017379	Uncharacterised conserved protein UCP038083, PDZ	Family
IPR017380	Histone acetyltransferase type B, catalytic subunit	Family
IPR017381	Leukocyte cell-derived chemotaxin 2, chordata	Family
IPR017383	ARP2/3 complex, 41kDa  subunit (p41-arc)	Family
IPR017384	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex subunit 1	Family
IPR017385	ATPase, V0 complex, subunit e1/e2, metazoa	Family
IPR017386	Transcription factor SOX-12/11/4a	Family
IPR017387	Testis-specific TEX28	Family
IPR017388	Myrosinase-binding-related, jacalin-like lectin	Family
IPR017389	Nucleoporin, NUP53	Family
IPR017390	Ubiquitinyl hydrolase, UCH37 type	Family
IPR017392	Pathogenesis-related genes transcriptional activator PTI6	Family
IPR017393	SWI/SNF chromatin-remodeling complex, component hSNF5/Ini1	Family
IPR017394	Uncharacterised conserved protein UCP038127, LOB	Family
IPR017395	Chlorophyllase, chloroplast	Family
IPR017396	Transcription factor, WRKY group IIc	Family
IPR017397	NUDIX hydrolase, AtNUDT22	Family
IPR017398	Chromatin modification-related protein EAF3/MRG15	Family
IPR017399	WD repeat protein 23	Family
IPR017400	Elongation factor 2 kinase	Family
IPR017401	Protein phosphatase 1, regulatory subunit 12A/B/C, eukaryote	Family
IPR017402	Proteorhodopsin	Family
IPR017403	Podocalyxin-like protein 1	Family
IPR017404	Ladinin 1	Family
IPR021082	Protein GAPT	Family
IPR021335	Protein of unknown function DUF2948	Family
IPR021336	Protein of unknown function DUF2949	Family
IPR021337	Protein of unknown function DUF2951	Family
IPR021338	Protein of unknown function DUF2953	Family
IPR021339	Protein of unknown function DUF2956	Family
IPR021340	Protein of unknown function DUF2957	Family
IPR021341	Protein of unknown function DUF2958	Family
IPR021342	Protein of unknown function DUF2959	Family
IPR021343	Protein of unknown function DUF2960	Family
IPR021344	Protein of unknown function DUF2970	Family
IPR021345	Protein of unknown function DUF2961	Family
IPR021346	Translation machinery-associated protein 16	Family
IPR021347	Protein of unknown function DUF2964	Family
IPR021348	Protein of unknown function DUF2963	Family
IPR021349	Protein of unknown function DUF2967	Family
IPR021350	Protein of unknown function DUF2968	Family
IPR021351	Protein of unknown function DUF2969	Family
IPR021352	Protein of unknown function DUF2971	Family
IPR021353	Protein of unknown function DUF2972	Family
IPR021354	Protein of unknown function DUF2975	Family
IPR021355	Bacteriophage Syn9, Gp224	Family
IPR021356	Integrating conjugative element protein PFL4702	Family
IPR021357	Protein of unknown function DUF2782	Family
IPR021358	Bacteriophage 96, Orf38	Family
IPR021359	Protein of unknown function DUF2812	Family
IPR021361	Protein of unknown function DUF2829	Family
IPR021362	Protein of unknown function DUF2834	Family
IPR021363	Protein of unknown function DUF2835	Family
IPR021364	Protein of unknown function DUF2857	Family
IPR021365	Protein of unknown function DUF2891	Family
IPR021366	Protein of unknown function DUF2981	Family
IPR021367	Protein of unknown function DUF2982	Family
IPR021368	Type VII secretion system protein EccE	Family
IPR021369	Protein of unknown function DUF2985	Family
IPR021370	Protein of unknown function DUF2987	Family
IPR021372	Protein of unknown function DUF2989	Family
IPR021373	Protein of unknown function DUF2993	Family
IPR021374	Protein of unknown function DUF2996	Family
IPR021375	Protein of unknown function DUF2997	Family
IPR021376	Protein of unknown function DUF2999	Family
IPR021377	Protein of unknown function DUF3006	Family
IPR021378	Protein of unknown function DUF3010	Family
IPR021379	Protein of unknown function DUF3012	Family
IPR021380	Protein of unknown function DUF3013	Family
IPR021381	Protein of unknown function DUF3011	Family
IPR021382	Protein of unknown function DUF3014	Family
IPR021383	Protein of unknown function DUF3015	Family
IPR021384	Mediator complex, subunit Med21	Family
IPR021385	Protein of unknown function DUF3017	Family
IPR021386	Protein of unknown function DUF3020	Family
IPR021387	Protein of unknown function DUF3023	Family
IPR021388	Bacteriophage 933W, L0084	Family
IPR021389	Protein of unknown function DUF3022	Family
IPR021390	Protein of unknown function DUF3025	Family
IPR021391	Protein of unknown function DUF3027	Family
IPR021392	Protein of unknown function DUF3028	Family
IPR021393	Protein of unknown function DUF3034	Family
IPR021394	Mediator complex, subunit Med25, PTOV activation and synapsin 2	Domain
IPR021395	Protein of unknown function DUF3035	Family
IPR021397	Mediator complex, subunit Med25, synapsin 1	Domain
IPR021398	Protein of unknown function DUF3037	Family
IPR021399	Protein of unknown function DUF3038	Family
IPR021400	Protein of unknown function DUF3039	Family
IPR021401	Protein of unknown function DUF3040	Family
IPR021402	Protein of unknown function DUF3042	Family
IPR021403	Protein of unknown function DUF3043	Family
IPR021404	Bacteriophage T4, Gp24.3	Family
IPR021405	Bacteriophage T4, Gp30.1	Family
IPR021406	Mediator complex, subunit Med25, NR box	Domain
IPR021407	Protein of unknown function DUF2544	Family
IPR021408	Protein of unknown function DUF3046	Family
IPR021409	Protein of unknown function DUF3047	Family
IPR021410	The fantastic four family	Family
IPR021411	Sugarcane yellow leaf virus (SCYLV), Orf0	Family
IPR021412	Protein of unknown function DUF3052	Family
IPR021413	Protein of unknown function DUF3053	Family
IPR021414	Protein of unknown function DUF3054	Family
IPR021415	Protein of unknown function DUF3055	Family
IPR021416	Protein of unknown function DUF3048	Family
IPR021417	Protein of unknown function DUF3060	Family
IPR021418	THO complex, subunitTHOC2, C-terminal	Domain
IPR021419	Mediator complex, subunit Med25, von Willebrand factor type A	Family
IPR021420	Protein of unknown function DUF3067	Family
IPR021421	Protein of unknown function DUF3071	Family
IPR021422	Protein of unknown function DUF3069	Family
IPR021423	Protein of unknown function DUF3070	Family
IPR021424	Protein of unknown function DUF3068	Family
IPR021425	Protein of unknown function DUF3072	Family
IPR021426	Protein of unknown function DUF3073	Family
IPR021427	Protein of unknown function DUF3077	Family
IPR021428	Protein of unknown function DUF3078	Family
IPR021429	Mediator complex, subunit Med24, N-terminal	Domain
IPR021430	Protein of unknown function DUF3079	Family
IPR021431	Protein of unknown function DUF3080	Family
IPR021432	Protein of unknown function DUF3081	Family
IPR021433	Protein of unknown function DUF3083	Family
IPR021434	Protein of unknown function DUF3082	Family
IPR021435	Protein of unknown function DUF3084	Family
IPR021436	Protein of unknown function DUF3085	Family
IPR021437	Protein of unknown function DUF3086	Family
IPR021438	Protein of unknown function DUF3087	Family
IPR021439	Protein of unknown function DUF3088	Family
IPR021440	Protein of unknown function DUF3089	Family
IPR021441	Protein of unknown function DUF3090	Family
IPR021442	Protein of unknown function DUF3091	Family
IPR021443	Protein of unknown function DUF3093	Family
IPR021444	Protein of unknown function DUF3094	Family
IPR021445	Protein of unknown function DUF3095	Family
IPR021446	Thermoproteus tenax spherical virus 1, Orf18	Family
IPR021447	Protein of unknown function DUF3097	Family
IPR021448	Protein of unknown function DUF3098	Family
IPR021449	Protein of unknown function DUF3099	Family
IPR021450	Protein of unknown function DUF3100	Family
IPR021451	Protein of unknown function DUF3102	Family
IPR021452	Protein of unknown function DUF3103	Family
IPR021453	Protein of unknown function DUF3104	Family
IPR021454	Protein of unknown function DUF3105	Family
IPR021455	Protein of unknown function DUF3106	Family
IPR021456	Protein of unknown function DUF3107	Family
IPR021457	Protein of unknown function DUF3108	Family
IPR015673	Enamelin	Family
IPR015674	Gastrin releasing peptide	Family
IPR015675	Secretin	Family
IPR015676	Tob	Family
IPR015678	Tob2	Family
IPR015679	Phospholipase D family	Family
IPR015680	Glutamate-Gated Chloride Channel	Family
IPR023868	7-carboxy-7-deazaguanine synthase, Clostridial form	Family
IPR023871	Mycofactocin system creatininase family protein	Family
IPR015685	Aquaporin 9	Family
IPR015686	Aquaporin 7	Family
IPR023886	Quinohemoprotein amine dehydrogenase, gamma subunit maturation protein	Family
IPR015688	Elongation Factor 3	Family
IPR023889	TOMM system kinase/cyclase fusion protein	Family
IPR023892	Cyclic nucleotide-binding domain protein	Family
IPR023895	Thiazolylpeptide-type bacteriocin precursor	Family
IPR023900	Nitrile hydratase alpha subunit /Thiocyanate hydrolase gamma subunit	Family
IPR023901	Thiocyanate hydrolase, gamma subunit	Family
IPR023902	Sporulation delaying protein SdpA	Family
IPR015696	Spindle pole body component 98p	Family
IPR015697	Gamma tubulin complex protein 3	Family
IPR015698	Spc97, Saccharomycetales	Family
IPR015699	DNA-directed RNA pol I, largest subunit	Family
IPR015700	DNA-directed RNA polymerase III largest subunit	Family
IPR011222	Double-stranded DNA virus, group I, capsid	Domain
IPR011234	Fumarylacetoacetase, C-terminal-related	Domain
IPR011237	Peptidase M16 domain	Domain
IPR015890	Chorismate binding, C-terminal	Domain
IPR016059	DNA ligase, ATP-dependent, conserved site	Conserved_site
IPR016192	APOBEC/CMP deaminase, zinc-binding	Conserved_site
IPR016193	Cytidine deaminase-like	Domain
IPR019832	Manganese/iron superoxide dismutase, C-terminal	Domain
IPR019833	Manganese/iron superoxide dismutase, binding site	Binding_site
IPR019835	SWIB domain	Domain
IPR019843	DNA polymerase family X, binding site	Binding_site
IPR019844	Cold-shock conserved site	Conserved_site
IPR019845	Squalene/phytoene synthase, conserved site	Conserved_site
IPR019850	Gliding motility-associated lipoprotein, GldD	Family
IPR019852	Gliding motility-associated protein, GldL	Family
IPR019853	Gliding motility-associated lipoprotein, GldB	Family
IPR019854	Gliding motility-associated protein, GldC	Family
IPR019879	Ammonium transporter, marine subtype	Family
IPR019882	Conserved hypothetical protein CHP03643	Family
IPR019883	Lactoylglutathione lyase	Family
IPR019884	YtoQ family protein	Family
IPR019886	Sodium symporter small subunit, predicted	Domain
IPR019904	Peroxiredoxin, osmotically inducible protein C, subgroup	Family
IPR019905	Peroxiredoxin, osmotically inducible protein C, Firmicutes	Family
IPR019910	Luciferase-like, F420-dependent oxidoreductase, MSMEG4879, predicted	Family
IPR019911	Alkanesulphonate monooxygenase, FMN-dependent	Family
IPR019912	FMN reductase, MsuE-like	Family
IPR019917	FMN reductase (NADH) RutF	Family
IPR019929	Haem uptake protein IsdB	Family
IPR019930	Haptoglobin-binding haem uptake protein HarA	Family
IPR019931	LPXTG cell wall anchor domain	Domain
IPR019932	Conserved hypothetical protein CHP03543	Family
IPR019933	DivIVA domain	Domain
IPR019934	Conserved hypothetical protein CHP03545	Family
IPR019935	Conserved hypothetical protein CHP03546	Family
IPR019936	Mutatrotase, YjhT-like	Family
IPR019937	Cyclically-permuted mutarotase family	Family
IPR019938	YcaO domain protein	Family
IPR019939	CofG family	Family
IPR019940	CofH family	Family
IPR019941	Transcription regulator LuxR, chaperone HchA-associated	Family
IPR019942	Diaminopimelate aminotransferase, DapL, plant/Chlamydia-type	Family
IPR019943	Coenzyme F420 biosynthesis protein FbiB, C-terminal	Domain
IPR019944	F420-dependent glucose-6-phosphate dehydrogenase	Family
IPR019945	F420-dependent glucose-6-phosphate dehydrogenase-related	Family
IPR019946	5,10-methylenetetrahydromethanopterin reductase	Family
IPR019947	Deoxyribodipyrimidine photo-lyase, 8-HDF type	Family
IPR019949	Luciferase family oxidoreductase, group 1	Family
IPR019951	F420-dependent oxidoreductase-predicted, Rv3520c	Family
IPR019952	F420-dependent oxidoreductase-predicted, Rv1855c	Family
IPR019953	Peroxiredoxin, organic hydroperoxide resistance-related	Family
IPR023903	Cyclised secreted peptide	Family
IPR023904	Peptide radical SAM maturase , YydG	Family
IPR023905	Acetyldiaminopimelate deacetylase	Family
IPR023906	Radical SAM target protein, putative	Family
IPR023907	Non-F420 flavinoid oxidoreductase	Family
IPR023908	xxxLxxG heptad repeat	Repeat
IPR023909	F420-dependent oxidoreductase, NP1902A	Family
IPR023910	Colanic acid biosynthesis, glycosyl transferase, WcaI	Family
IPR023912	Glycyl radical enzyme activase, YjjW, bact	Family
IPR023913	Mycofactocin, radical SAM peptide maturase	Family
IPR023915	UDP-GlcNAc diphosphorylase/GlcNAc-1-P N-acetyltransferase, GlmU, archaeal-type	Family
IPR023916	Colanic acid biosynthesis, glycosyl transferase, WcaC	Family
IPR023917	UDP-GlcNAc diphosphorylase/GlcNAc-1-P N-acetyltransferase, GlmU, bacterial-type	Family
IPR023920	ABC transporter, substrate-binding protein, KPN01854	Family
IPR023921	Alcohol dehydrogenase, zinc-type, actinomycetes	Family
IPR023923	Alkylhydroperoxidase domain-containing  protein, Avi7169	Family
IPR023992	Heme D1 biosynthesis, radical SAM protein NirJ	Family
IPR023993	Wyosine biosynthesis TYW1, radical SAM-type	Family
IPR023994	[NiFe]-hydrogenase assembly, chaperone, HybE	Family
IPR023995	Coproporphyrinogen III oxidase	Family
IPR023996	TonB-dependent outer membrane protein, SusC/RagA	Family
